id;level;university;area;degree
5645;Высшее образование;МоскИФИ;Вычислительные машины, комплексы, системы и сети;Инженер
6662;Высшее образование;МГУ им.Ломоносова;Экономика;Бакалавр экономики
27817;Среднее проф.образ;ККМДО;Банковское дело;Специалист банковского дела
27817;Высшее образование;МГУЭСИ;Финансы и кредит;Экономист
28442;Высшее образование;МГУ им.Ломоносова;Механика;Механик
29081;Высшее образование;МГУ им.Ломоносова;Прикладная математика и информатика;Математик, системный программист
29081;Высшее образование;РЭУ;Экономика;Бакалавр
30055;Высшее образование;МоГЭИ;Таможенное дело;Специалист таможенного дела
30055;Высшее образование;ФУП РФ;Юриспруденция;Юрист
30055;Послевузовское образ;РАНХГСП РФ;Евроменеджмент-мастер делового администрирования для руководителей;
31267;Высшее образование;МоФТИ;Прикладная математика и физика;Бакалавр прикладных математики и физики
31267;Высшее образование;МоФТИ;Прикладная математика и физика;Магистр прикладных математики и физики
35858;Высшее образование;МоГАИ;Системы автоматизированного проектирования;Инженер
35858;Высшее образование;МоГАИ;Менеджмент;Бакалавр менеджмента
38064;Среднее проф.образ;МоБИ;Банковское дело;Экономист
38064;Высшее образование;МоБИ;Финансы и кредит;Экономист
39281;Высшее образование;МГУ им.Ломоносова;Физика;Физик
40807;Высшее образование;УГУ;;
40807;Высшее образование;УГУ;Финансы и кредит;Экономист
41079;Высшее образование;МоФТИ;Прикладная математика и физика;Магистр прикладных математики и физики
41223;Высшее образование;МоскИСИ;Строительные и дорожные машины и оборудование;Инженер-механик
41874;Высшее образование;ДонсГТУ;Автоматизация и управление;Бакалавр техники и технологий
41874;Высшее образование;ДонсГТУ;Автоматизация технологических процессов и производств;Инженер
41874;Высшее образование;ДонсГТУ;Автоматизация и управление;Магистр техники и технологий
44905;Высшее образование;МоскАИ;Автоматизированные системы обработки информации и управления;Инженер
60067;Среднее проф.образ;МоБИ;Банковское дело;Экономист
60067;Высшее образование;ГУУ;Финансы и кредит;Экономист
75814;Среднее проф.образ;МоБИ;Банковское дело;Экономист
75814;Неполное высш.образ;РоЭА;Финансы и кредит;Экономист
75814;Высшее образование;РоЭА;Банковское дело;
84994;Высшее образование;МоЭИ;Радиотехника;Радиоинженер
462817;Высшее образование;МоФТИ;Прикладная математика и физика;Бакалавр прикладных математики и физики
462817;Высшее образование;МоФТИ;Прикладная математика и физика;Магистр прикладных математики и физики
462817;Повышение квалиф-ии;НИУ ВШЭ;;
671618;Высшее образование;МГУ им.Ломоносова;Физика;Физик
816691;Высшее образование;МоФТИ;Системный анализ и управление;Бакалавр техники и технологии
816691;Высшее образование;РАНХГСП РФ;Экономика;Бакалавр
816691;Высшее образование;МоФТИ;Системный анализ и управление;Магистр техники и технологии
816691;Высшее образование;РАНХГСП РФ;Экономика;Магистр
861872;Высшее образование;МГАИ;Авиационные двигатели и энергетические установки;Инженер
861872;Высшее образование;ГУ-ВШЭ;Финансы и кредит;Экономист
866410;Высшее образование;МГУ им.Ломоносова;Математика;Математик
866493;Высшее образование;МоФТИ;Прикладные математика и физика;Магистр прикладных математики и физики
866493;Высшее образование;МоФТИ;Прикладные математика и физика;Бакалавр прикладных математики и физики
874663;Высшее образование;ФУП РФ;Финансы и кредит;Экономист
874663;Высшее образование;РГТУ им.Циолковского;Автоматизированные системы обработки информации и управления;Инженер
874663;Высшее образование;РГТУ им.Циолковского;Информатика и вычислительная техника;Бакалавр техники и технологии
884679;Высшее образование;МГУ им.Ломоносова;Математика;
885118;Высшее образование;МГИЭТ ИЭУ;Программное обеспечение вычислительной техники и автоматизированных систем;
901573;Высшее образование;РЭШ;Менеджмент;
901573;Высшее образование;МоФТИ;Прикладные математика и физика;Бакалавр прикладных математики и физики
901573;Высшее образование;МоФТИ;Прикладные математика и физика;Магистр прикладных математики и физики
901573;Высшее образование;НИУ ВШЭ;Финансовые технологии и анализ данных;Магистр
910332;Высшее образование;;Финансы и кредит;Экономист
914772;Высшее образование;РоЭА;Математические методы в экономике;Экономист-математик
963327;Высшее образование;ВШЭ;Социология;Бакалавр социологии
999776;Высшее образование;МоскоГГУ;Экономика и управление на предприятии (в природопользовании);Экономист-менеджер
1001547;Высшее образование;МоскИФИ;Прикладная математика;Инженер-математик
1001547;Повышение квалиф-ии;АНО ДПО КУС;;
