id;n;start;end;empl;town
1789214;2;19.11.2019;31.12.9999;"Публичное акционерное общество ""Сбербанк России""";Москва
1789214;1;16.05.2019;18.11.2019;Банк ВТБ (Публичное акционерное общество);
1810930;1;20.03.2020;31.12.9999;"Публичное акционерное общество ""Сбербанк России""";Москва
1265175;12;17.09.2019;31.12.9999;"Публичное акционерное общество ""Сбербанк России""";Москва
1265175;11;21.08.2017;16.09.2019;"Публичное акционерное общество ""Сбербанк России""";Москва
1265175;10;26.06.2017;20.08.2017;"Публичное акционерное общество ""Сбербанк России""";Москва
1265175;9;12.01.2015;25.06.2017;"Открытое акционерное общество ""Сбербанк России""";
1265175;8;17.10.2014;11.01.2015;"Открытое акционерное общество ""Сбербанк России""";г. Москва
1265175;7;01.09.2013;14.10.2014;"Общество с ограниченной ответственностью  ""Эквифакс Кредит Сервисиз""";
1265175;6;24.08.2011;31.08.2013;"Общество с ограниченной ответственностью  ""Эквифакс Кредит Сервисиз""";
1265175;5;01.10.2010;23.08.2011;"Акционерный коммерческий банк ""Банк Москвы"" (открытое акционерное общество)";
1265175;4;04.05.2008;30.09.2010;"Акционерный коммерческий банк ""Банк Москвы"" (открытое акционерное общество)";
1265175;3;23.08.2006;03.05.2008;"Акционерный коммерческий банк ""Банк Москвы"" (открытое акционерное общество)";
1265175;2;01.02.2006;28.04.2006;Вычислительный центр им.Дородницына РАН;
1265175;1;19.09.2005;31.12.2005;Вычислительный центр им.Дородницына РАН;
1644055;8;19.08.2020;31.12.9999;"Публичное акционерное общество ""Сбербанк России""";Москва
1644055;7;01.11.2018;18.08.2020;"Публичное акционерное общество ""Сбербанк России""";Москва
1644055;6;03.05.2018;31.10.2018;"Публичное акционерное общество ""Сбербанк России""";Москва
1644055;5;02.09.2013;28.04.2018;"Общество в ограниченной ответственностью ""Рунет Бизнес Системы"" (ООО ""РБС"")";
1644055;4;10.03.2011;30.08.2013;"Общество с ограниченной ответственностью ""Рамблер Интернет Холдинг""";
1644055;3;04.03.2008;15.06.2010;"Закрытое акционерное общество ""Райффайзенбанк""(ЗАО""Райффайзенбанк"")";
1644055;2;21.06.2005;03.03.2008;"Акционерный банк ""Содействие общественным инициативам"" (открытое акционерное общество) ОАО ""Собинбанк""";
1644055;1;09.08.2004;06.05.2005;"Общество с ограниченной ответственностью ""Общая Карта""";
1702755;6;27.02.2020;31.12.9999;"Публичное акционерное общество ""Сбербанк России""";Москва
1702755;5;08.10.2019;26.02.2020;"Публичное акционерное общество ""Сбербанк России""";Москва
1702755;4;20.02.2019;07.10.2019;"Публичное акционерное общество ""Сбербанк России""";Москва
1702755;3;24.10.2018;19.02.2019;"Публичное акционерное общество ""Сбербанк России""";Москва
1702755;2;01.04.2016;31.12.2016;"ФГБОУ ВПО ""Московский государственный технический университет им. Н.Э. Баумана""";
1702755;1;01.11.2015;30.11.2015;"ФГБОУ ВПО ""Московский государственный технический университет им. Н.Э. Баумана""";
1844853;9;02.11.2020;31.12.9999;"Публичное акционерное общество ""Сбербанк России""";Москва
1844853;8;07.09.2020;30.10.2020;"Банк ""Национальный Клиринговый центр"" (Акционерное общество) (Банк НКЦ (АО))";
1844853;7;14.09.2016;06.09.2020;"Банк ""Национальный Клиринговый центр"" (Акционерное общество) (Банк НКЦ (АО))";
1844853;6;17.09.2015;13.09.2016;"Банк ""Национальный Клиринговый центр"" (Акционерное общество) (Банк НКЦ (АО))";
1844853;5;10.10.2013;11.09.2015;"Открытое акционерное общество ""АЛЬФА-БАНК""";Москва
1844853;4;04.10.2012;27.09.2013;"Открытое акционерное общество ""Номос-Банк"" ""НОМОС-БАНК""(ОАО)";Москва
1844853;3;16.05.2011;21.09.2012;"Федеральное государтсвенное автономное образовательное учреждение высшего профессионального образования ""Национальный исследовательский университет ""Высшая школа знаний""";Москва
1844853;2;01.11.2010;13.05.2011;"Открытое акционерное общество ""Номос-Банк"" ""НОМОС-БАНК""(ОАО)";Москва
