id;block;unit3;unit4;position;grade;age;
1814797;Розничный бизнес;"Блок ""Розничный бизнес""";"Штаб Блока ""Розничный бизнес""";Исследователь данных;09;24;
1771846;Розничный бизнес;"Блок ""Розничный бизнес""";"Штаб Блока ""Розничный бизнес""";Ведущий исследователь данных;10;24;
1815163;Розничный бизнес;"Блок ""Розничный бизнес""";"Штаб Блока ""Розничный бизнес""";Ведущий исследователь данных;10;24;
1599115;Розничный бизнес;"Блок ""Розничный бизнес""";"Штаб Блока ""Розничный бизнес""";Рук-ль направления по исслед.данных;11;27;
1776497;Розничный бизнес;"Блок ""Розничный бизнес""";"Штаб Блока ""Розничный бизнес""";Исп.директор по исследованию данных;13;39;
1001547;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Занять и сберегать""";Исп.директор по исследованию данных;13;40;
1653694;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Занять и сберегать""";Рук-ль направления по исслед.данных;12;39;
1741991;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Занять и сберегать""";Рук-ль направления по исслед.данных;11;39;
1605079;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Занять и сберегать""";Рук-ль направления по исслед.данных;11;33;
1786840;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;12;28;
1670906;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;35;
1816590;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;24;
1815160;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;27;
1815768;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;22;
1810232;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;25;
1814000;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;30;
1591513;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;29;
1597020;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;32;
1609073;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;30;
1619078;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;28;
1814804;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;12;32;
1719041;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;26;
1793400;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;26;
1675402;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;25;
1818319;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;27;
1656145;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;43;
1747804;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;26;
1711642;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;12;34;
1779421;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;30;
1715080;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Ведущий исследователь данных;10;36;
1780417;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Исследователь данных;09;27;
1785961;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Исследователь данных;08;24;
1772134;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;12;23;
1465021;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;12;27;
1811056;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;11;31;
1632400;Розничный бизнес;"Блок ""Розничный бизнес""";"Дивизион ""Забота о клиентах""";Рук-ль направления по исслед.данных;12;29;
